,cur,id,lemma,pos,space,Prob1,Prob2,segId
0,1,1,4,QC,"
",-50,-50,1
1,3,2,लोग,NN, ,-50,-50,1
2,9,3,को,PSP, ,-50,-50,1
3,12,4,मार,VM, ,-50,-50,1
4,18,5,वाली,PSP, ,-50,-50,1
5,23,6,खूनी,JJ, ,-50,-50,1
6,28,7,नर्स,NN, ,-50,-50,1
7,33,8,को,PSP, ,-50,-50,1
8,36,9,उम्र,NN, ,-50,-50,1
9,41,10,क़ैद,NNP, ,-50,-50,1
10,46,11,का,PSP, ,-50,-50,1
11,49,12,सजा़,XC, ,-50,-50,1
12,55,13,नर्स,NN,"

",-50,-50,2
13,60,14,कॉलिन,XC, ,-50,-50,2
14,66,15,नौरिस,NNP, ,-50,-50,2
15,72,16,को,PSP, ,-50,-50,2
16,75,17,4,QC, ,-50,-50,2
17,77,18,मरीज,NN, ,-50,-50,2
18,84,19,को,PSP, ,-50,-50,2
19,87,20,जान,NN, ,-50,-50,2
20,91,21,से,PSP, ,-50,-50,2
21,94,22,मार,VM, ,-50,-50,2
22,100,23,का,PSP, ,-50,-50,2
23,103,24,ले,PSP, ,-50,-50,2
24,107,25,उम्र,NN, ,-50,-50,2
25,112,26,कैद,NN, ,-50,-50,2
26,116,27,का,PSP, ,-50,-50,2
27,119,28,सज़ा,NN, ,-50,-50,2
28,124,29,दे,VM, ,-50,-50,2
29,127,30,गई,VAUX, ,-50,-50,2
30,129,31,,SYM,,-50,-50,2
31,132,32,ग्लासगो,NN,  ,-50,-50,3
32,140,33,का,PSP, ,-50,-50,3
33,143,34,रह,VM, ,-50,-50,3
34,148,35,वाली,PSP, ,-50,-50,3
35,153,36,32,QC, ,-50,-50,3
36,156,37,साल,NN, ,-50,-50,3
37,160,38,का,PSP, ,-50,-50,3
38,163,39,कालिन,NNP, ,-50,-50,3
39,169,40,नौरिस,NN, ,-50,-50,3
40,175,41,ने,PSP, ,-50,-50,3
41,178,42,2002,QC, ,-50,-50,3
42,183,43,में,PSP, ,-50,-50,3
43,187,44,4,QC, ,-50,-50,3
44,189,45,महिला,NN, ,-50,-50,3
45,197,46,को,PSP, ,-50,-50,3
46,200,47,अधिक,QF, ,-50,-50,3
47,205,48,मात्रा,NN, ,-50,-50,3
48,212,49,में,PSP, ,-50,-50,3
49,216,50,नींद,NN, ,-50,-50,3
50,221,51,वाली,PSP, ,-50,-50,3
51,226,52,दवाइयां,NN, ,-50,-50,3
52,234,53,दे,VM, ,-50,-50,3
53,239,54,मार,VM, ,-50,-50,3
54,243,55,दे,VAUX, ,-50,-50,3
55,248,56,था,VAUX, ,-50,-50,3
56,250,57,,SYM,,-50,-50,3
57,253,58,लंबा,JJ,  ,-50,-50,4
58,258,59,समय,NN, ,-50,-50,4
59,262,60,तक,RP, ,-50,-50,4
60,265,61,चल,VM, ,-50,-50,4
61,269,62,कार्रवाई,NN, ,-50,-50,4
62,278,63,का,PSP, ,-50,-50,4
63,281,64,बाद,NST, ,-50,-50,4
64,285,65,कल,NN, ,-50,-50,4
65,288,66,उसे,PRP, ,-50,-50,4
66,292,67,हत्या,NN, ,-50,-50,4
67,298,68,का,PSP, ,-50,-50,4
68,301,69,चार,QC, ,-50,-50,4
69,305,70,मामला,NN, ,-50,-50,4
70,312,71,में,PSP, ,-50,-50,4
71,316,72,दोषी,JJ, ,-50,-50,4
72,321,73,पा,VM, ,-50,-50,4
73,326,74,गया,VAUX, ,-50,-50,4
74,329,75,,SYM,,-50,-50,4
75,331,76,उसे,PRP, ,-50,-50,5
76,335,77,4,QC, ,-50,-50,5
77,337,78,लोग,NN, ,-50,-50,5
78,343,79,को,PSP, ,-50,-50,5
79,346,80,मार,VM, ,-50,-50,5
80,352,81,का,PSP, ,-50,-50,5
81,355,82,ले,PSP, ,-50,-50,5
82,359,83,उम्र,NN, ,-50,-50,5
83,364,84,कैद,NN, ,-50,-50,5
84,368,85,का,PSP, ,-50,-50,5
85,371,86,सजा,NN, ,-50,-50,5
86,375,87,सुना,VM, ,-50,-50,5
87,381,88,गई,VAUX, ,-50,-50,5
88,383,89,,SYM,,-50,-50,5
89,385,90,उसे,PRP, ,-50,-50,6
90,389,91,कम,QF, ,-50,-50,6
91,392,92,से,PSP, ,-50,-50,6
92,395,93,कम,QF, ,-50,-50,6
93,398,94,30,QC, ,-50,-50,6
94,401,95,साल,NN, ,-50,-50,6
95,405,96,तक,RP, ,-50,-50,6
96,408,97,अपनी,PRP, ,-50,-50,6
97,413,98,सेवा,NN, ,-50,-50,6
98,420,99,दे,VM, ,-50,-50,6
99,425,100,हो,VAUX, ,-50,-50,6
100,430,101,,SYM,,-50,-50,6
101,432,102,पुलिस,NN, ,-50,-50,7
102,438,103,अधिकारी,JJ, ,-50,-50,7
103,446,104,क्रिस,XC, ,-50,-50,7
104,452,105,ग्रेग,NNP, ,-50,-50,7
105,458,106,ने,PSP, ,-50,-50,7
106,461,107,कह,VM, ,-50,-50,7
107,465,108,कि,CC, ,-50,-50,7
108,468,109,नौरिस,DEM, ,-50,-50,7
109,474,110,अस्पताल,NN, ,-50,-50,7
110,482,111,का,PSP, ,-50,-50,7
111,485,112,आसपास,NST, ,-50,-50,7
112,491,113,असामान्य,JJ, ,-50,-50,7
113,500,114,व्यवहार,NN, ,-50,-50,7
114,508,115,कर,VM, ,-50,-50,7
115,511,116,रह,VAUX, ,-50,-50,7
116,515,117,था,VAUX, ,-50,-50,7
117,517,118,,SYM,,-50,-50,7
118,520,119,अस्पताल,NN,  ,-50,-50,8
119,528,120,का,PSP, ,-50,-50,8
120,531,121,अन्य,JJ, ,-50,-50,8
121,536,122,कर्मचारी,NN, ,-50,-50,8
122,548,123,का,PSP, ,-50,-50,8
123,551,124,जागरूकता,NN, ,-50,-50,8
124,560,125,का,PSP, ,-50,-50,8
125,563,126,ले,PSP, ,-50,-50,8
126,567,127,उसे,PRP, ,-50,-50,8
127,571,128,बंद,JJ, ,-50,-50,8
128,575,129,रखा,VM, ,-50,-50,8
129,579,130,गया,VAUX, ,-50,-50,8
130,583,131,,SYM,,-50,-50,8
131,585,132,पुलिस,NN, ,-50,-50,9
