,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
0,family,NOUN,NNS,0,1,-4.1771,-50,1,
1,hit,VERB,VBP,9,2,-4.1062,-7.4891,1, 
2,with,ADP,IN,13,3,-2.2850,-5.8737,1, 
3,increase,NOUN,NN,18,4,-3.8658,-7.1369,1, 
4,in,ADP,IN,27,5,-1.8251,-4.2835,1, 
5,cost,NOUN,NN,30,6,-3.7800,-6.1227,1, 
6,of,ADP,IN,35,7,-1.6306,-4.2637,1, 
7,living,NOUN,NN,38,8,-3.8985,-4.8917,1, 
8,british,ADJ,JJ,45,9,-3.5418,-7.1880,2,"
"
9,family,NOUN,NNS,53,10,-4.1771,-6.8124,2, 
10,have,VERB,VBP,62,11,-2.4270,-6.0012,2, 
11,to,PART,TO,67,12,-1.6934,-3.4554,2, 
12,cough,VERB,VB,70,13,-5.2002,-6.2278,2, 
13,up,ADP,RP,76,14,-2.8340,-6.3587,2, 
14,a,DET,DT,79,15,-2.5628,-5.0470,2, 
15,extra,ADJ,JJ,82,16,-4.1181,-4.8292,2, 
16,£,SYM,$,88,17,-5.5571,-50,2,
17,"31,300",NUM,CD,89,18,-50,-50,2,
18,a,DET,DT,96,19,-1.7608,-50,2, 
19,year,NOUN,NN,98,20,-3.2268,-4.0729,2, 
20,as,SCONJ,IN,103,21,-2.3737,-5.4303,2, 
21,food,NOUN,NN,106,22,-3.8196,-6.1669,2, 
22,and,CCONJ,CC,111,23,-1.6736,-4.7221,2, 
23,fuel,NOUN,NN,115,24,-4.4682,-5.8432,2, 
24,price,NOUN,NNS,120,25,-4.0886,-6.4190,2, 
25,soar,VERB,VBP,127,26,-5.7351,-7.6140,2, 
26,at,ADP,IN,132,27,-2.4227,-7.7901,2, 
27,they,PRON,PRP$,135,28,-2.6853,-4.6163,2, 
28,fastest,ADJ,JJS,141,29,-5.1784,-7.3130,2, 
29,rate,NOUN,NN,149,30,-3.8132,-7.3130,2, 
30,in,ADP,IN,154,31,-1.8251,-5.4627,2, 
31,17,NUM,CD,157,32,-4.2919,-6.2399,2, 
32,year,NOUN,NNS,160,33,-3.1431,-5.7710,2, 
33,.,PUNCT,.,165,34,-1.4170,-3.9435,2,
34,price,NOUN,NNS,167,35,-4.0886,-50,3, 
35,in,ADP,IN,174,36,-1.8251,-5.5508,3, 
36,supermarket,NOUN,NNS,177,37,-5.3468,-6.3587,3, 
37,have,AUX,VBP,190,38,-2.4270,-6.8359,3, 
38,climb,VERB,VBN,195,39,-4.7368,-6.5597,3, 
39,at,ADP,IN,203,40,-2.4227,-7.0911,3, 
40,a,DET,DT,206,41,-2.5628,-4.5083,3, 
41,alarming,ADJ,JJ,209,42,-5.2904,-5.9150,3, 
42,rate,NOUN,NN,218,43,-3.8132,-6.3836,3, 
43,over,ADP,IN,223,44,-2.9829,-6.5114,3, 
44,the,DET,DT,228,45,-1.3096,-3.5201,3, 
45,past,ADJ,JJ,232,46,-3.6864,-3.9898,3, 
46,year,NOUN,NN,237,47,-3.2268,-5.2796,3, 
47,.,PUNCT,.,241,48,-1.4170,-3.9397,3,
48,analyst,NOUN,NNS,243,49,-5.0470,-50,4, 
49,have,AUX,VBP,252,50,-2.4270,-6.4891,4, 
50,warn,VERB,VBN,257,51,-4.4981,-5.9268,4, 
51,that,SCONJ,IN,264,52,-2.0550,-5.1125,4, 
52,price,NOUN,NNS,269,53,-4.0886,-6.0658,4, 
53,will,AUX,MD,276,54,-2.6911,-5.8737,4, 
54,increase,VERB,VB,281,55,-3.8658,-5.3285,4, 
55,further,ADV,RB,290,56,-3.5373,-6.9150,4, 
56,still,ADV,RB,298,57,-3.2338,-6.7487,4, 
57,",",PUNCT,",",303,58,-1.3899,-4.6218,4,
58,make,VERB,VBG,305,59,-3.6581,-4.5202,4, 
59,it,PRON,PRP,312,60,-2.0678,-4.8800,4, 
60,hard,ADV,RB,315,61,-3.7462,-5.2035,4, 
61,for,ADP,IN,320,62,-2.1680,-5.2802,4, 
62,the,DET,DT,324,63,-1.3096,-2.8765,4, 
63,Bank,PROPN,NNP,328,64,-3.8457,-4.3565,4, 
64,of,ADP,IN,333,65,-1.6306,-4.7089,4, 
65,England,PROPN,NNP,336,66,-3.7305,-4.4040,4, 
66,to,PART,TO,344,67,-1.6934,-5.4848,4, 
67,cut,VERB,VB,347,68,-3.8580,-4.6572,4, 
68,interest,NOUN,NN,351,69,-3.6557,-6.3922,4, 
69,rate,NOUN,NNS,360,70,-4.0284,-4.6567,4, 
70,as,SCONJ,IN,366,71,-2.3737,-6.1180,4, 
71,it,PRON,PRP,369,72,-2.0678,-3.9413,4, 
72,struggle,VERB,VBZ,372,73,-5.1674,-7.0120,4, 
73,to,PART,TO,382,74,-1.6934,-6.0868,4, 
