,cur,id,lemma,pos,Prob1,Prob2,segId,space
0,0,1,परिवार,NN,-50,-50,1,
1,7,2,पर,PSP,-50,-50,1, 
2,10,3,परी,XC,-50,-50,1, 
3,14,4,जीवन,XC,-50,-50,1, 
4,18,5,-,SYM,-50,-50,1,
5,19,6,निर्वाह,NN,-50,-50,1,
6,27,7,में,PSP,-50,-50,1, 
7,31,8,हो,VM,-50,-50,1, 
8,35,9,वृद्धि,NN,-50,-50,1, 
9,42,10,का,PSP,-50,-50,1, 
10,45,11,मार,NN,-50,-50,1, 
11,49,12,17,QC,-50,-50,2,"
"
12,52,13,साला,NN,-50,-50,2, 
13,58,14,में,PSP,-50,-50,2, 
14,62,15,खाद्य,JJ,-50,-50,2, 
15,68,16,और,CC,-50,-50,2, 
16,71,17,ईंधन,NN,-50,-50,2, 
17,76,18,का,PSP,-50,-50,2, 
18,79,19,कीमत,NN,-50,-50,2, 
19,86,20,में,PSP,-50,-50,2, 
20,90,21,हो,VAUX,-50,-50,2, 
21,94,22,अब,PRP,-50,-50,2, 
22,96,23,-,SYM,-50,-50,2,
23,97,24,तक,RP,-50,-50,2,
24,100,25,का,PSP,-50,-50,2, 
25,103,26,सबसे,INTF,-50,-50,2, 
26,108,27,तेज़ी,JJ,-50,-50,2, 
27,114,28,बढ़ोतरी,NN,-50,-50,2, 
28,122,29,का,PSP,-50,-50,2, 
29,125,30,कारण,NN,-50,-50,2, 
30,130,31,ब्रिटिश,JJ,-50,-50,2, 
31,138,32,परिवार,NN,-50,-50,2, 
32,147,33,को,PSP,-50,-50,2, 
33,150,34,"31,300",QC,-50,-50,2, 
34,157,35,£,NN,-50,-50,2,
35,159,36,अतिरिक्त,JJ,-50,-50,2, 
36,168,37,कमा,VM,-50,-50,2, 
37,174,38,पड़ेंगे,VAUX,-50,-50,2, 
38,182,39,,SYM,-50,-50,2,
39,184,40,पिछला,JJ,-50,-50,3, 
40,190,41,कुछ,QF,-50,-50,3, 
41,194,42,साला,NN,-50,-50,3, 
42,200,43,में,PSP,-50,-50,3, 
43,204,44,सुपरमार्केट,NN,-50,-50,3, 
44,216,45,का,PSP,-50,-50,3, 
45,219,46,कीमत,NN,-50,-50,3, 
46,226,47,एक,QC,-50,-50,3, 
47,229,48,चौंका,VM,-50,-50,3, 
48,237,49,वाली,PSP,-50,-50,3, 
49,242,50,दर,NN,-50,-50,3, 
50,245,51,तक,RP,-50,-50,3, 
51,248,52,पहुंच,VM,-50,-50,3, 
52,254,53,हई,VAUX,-50,-50,3, 
53,257,54,है,VAUX,-50,-50,3, 
54,260,55,,SYM,-50,-50,3,
55,262,56,विश्लेषकों,NN,-50,-50,4, 
56,273,57,ने,PSP,-50,-50,4, 
57,276,58,सचेत,JJ,-50,-50,4, 
58,281,59,कर,VM,-50,-50,4, 
59,286,60,है,VAUX,-50,-50,4, 
60,289,61,कि,CC,-50,-50,4, 
61,292,62,कीमत,NN,-50,-50,4, 
62,299,63,में,PSP,-50,-50,4, 
63,303,64,अभी,PRP,-50,-50,4, 
64,307,65,और,INTF,-50,-50,4, 
65,310,66,भी,RP,-50,-50,4, 
66,313,67,बढ़ोतरी,JJ,-50,-50,4, 
67,321,68,हो,VM,-50,-50,4, 
68,326,69,वाली,VAUX,-50,-50,4, 
69,331,70,है,VAUX,-50,-50,4, 
70,333,71,",",SYM,-50,-50,4,
71,335,72,जो,PRP,-50,-50,4, 
72,341,73,मुद्रास्फ़ीति,NN,-50,-50,4, 
73,355,74,और,CC,-50,-50,4, 
74,358,75,अर्थव्यवस्था,NN,-50,-50,4, 
75,371,76,को,PSP,-50,-50,4, 
76,374,77,नियंत्रण,NN,-50,-50,4, 
77,383,78,में,PSP,-50,-50,4, 
78,387,79,रख,VM,-50,-50,4, 
79,392,80,का,PSP,-50,-50,4, 
80,395,81,कोशिश,NN,-50,-50,4, 
81,401,82,कर,VM,-50,-50,4, 
82,406,83,हो,VAUX,-50,-50,4, 
83,410,84,बैंक,NN,-50,-50,4, 
84,415,85,ऑफ,XC,-50,-50,4, 
85,418,86,इंग्लैंड,NNP,-50,-50,4, 
86,427,87,का,PSP,-50,-50,4, 
87,430,88,ब्याज,NN,-50,-50,4, 
88,436,89,दर,NN,-50,-50,4, 
89,441,90,को,PSP,-50,-50,4, 
90,444,91,कम,QF,-50,-50,4, 
91,447,92,कर,VM,-50,-50,4, 
92,452,93,और,CC,-50,-50,4, 
93,455,94,भी,RP,-50,-50,4, 
94,458,95,कठीन,JJ,-50,-50,4, 
95,463,96,बन,VM,-50,-50,4, 
96,466,97,गया,VAUX,-50,-50,4, 
97,470,98,है,VAUX,-50,-50,4, 
98,472,99,,SYM,-50,-50,4,
99,474,100,मामला,NN,-50,-50,5, 
100,480,101,को,PSP,-50,-50,5, 
101,483,102,बदतर,JJ,-50,-50,5, 
102,488,103,बना,VM,-50,-50,5, 
103,494,104,का,PSP,-50,-50,5, 
104,497,105,ले,PSP,-50,-50,5, 
105,500,106,",",SYM,-50,-50,5,
106,502,107,बढ़ते,JJ,-50,-50,5, 
107,508,108,मूल्य,NN,-50,-50,5, 
108,513,109,",",SYM,-50,-50,5,
109,515,110,वेतन,NN,-50,-50,5, 
110,520,111,में,PSP,-50,-50,5, 
111,524,112,हो,VM,-50,-50,5, 
112,528,113,वृद्धि,NN,-50,-50,5, 
113,535,114,से,PSP,-50,-50,5, 
114,538,115,भी,RP,-50,-50,5, 
115,541,116,अधिक,QF,-50,-50,5, 
116,546,117,ऊपर,NST,-50,-50,5, 
117,550,118,जा,VM,-50,-50,5, 
118,553,119,रह,VAUX,-50,-50,5, 
119,557,120,है,VAUX,-50,-50,5, 
120,560,121,",",SYM,-50,-50,5,
121,562,122,विशेष,JJ,-50,-50,5, 
122,568,123,रूप,NN,-50,-50,5, 
123,572,124,से,PSP,-50,-50,5, 
124,575,125,नर्सों,NN,-50,-50,5, 
125,582,126,और,CC,-50,-50,5, 
126,585,127,अन्य,JJ,-50,-50,5, 
127,590,128,स्वास्थ्य,XC,-50,-50,5, 
128,600,129,पेशेवरों,NN,-50,-50,5, 
129,609,130,का,PSP,-50,-50,5, 
130,611,131,",",SYM,-50,-50,5,
131,613,132,जो,PRP,-50,-50,5, 
132,621,133,सरकार,NN,-50,-50,5, 
133,627,134,का,PSP,-50,-50,5, 
134,630,135,इस,DEM,-50,-50,5, 
135,633,136,आग्रह,NN,-50,-50,5, 
136,639,137,से,PSP,-50,-50,5, 
137,642,138,कि,CC,-50,-50,5, 
138,645,139,सार्वजनिक,JJ,-50,-50,5, 
139,655,140,क्षेत्र,NN,-50,-50,5, 
140,663,141,में,PSP,-50,-50,5, 
141,667,142,कार्य,NN,-50,-50,5, 
142,673,143,कर,VM,-50,-50,5, 
143,676,144,रह,VAUX,-50,-50,5, 
144,680,145,लोग,NN,-50,-50,5, 
145,686,146,को,PSP,-50,-50,5, 
146,689,147,महंगाई,NN,-50,-50,5, 
147,696,148,से,PSP,-50,-50,5, 
148,699,149,कम,QF,-50,-50,5, 
149,702,150,वेतन,NN,-50,-50,5, 
150,707,151,वृद्धि,NN,-50,-50,5, 
151,714,152,प्राप्त,JJ,-50,-50,5, 
152,722,153,हो,VM,-50,-50,5, 
153,727,154,चाह,VAUX,-50,-50,5, 
154,732,155,",",SYM,-50,-50,5,
155,734,156,मुश्किल,NN,-50,-50,5, 
