,cur,id,lemma,pos,space,Prob1,Prob2,segId
0,1,1,विकासशील,JJ,"
",-50,-50,1
1,10,2,देश,NN, ,-50,-50,1
2,16,3,का,PSP, ,-50,-50,1
3,19,4,ले,PSP, ,-50,-50,1
4,23,5,जलवायु,XC, ,-50,-50,1
5,30,6,परिवर्तन,NN, ,-50,-50,1
6,39,7,पर,PSP, ,-50,-50,1
7,42,8,कोई,PRP, ,-50,-50,1
8,46,9,ठोस,DEM, ,-50,-50,1
9,50,10,कार्रवाई,NN, ,-50,-50,1
10,58,11,",",SYM,,-50,-50,1
11,61,12,आर्थिक,JJ,  ,-50,-50,1
12,68,13,विकास,NN, ,-50,-50,1
13,74,14,का,PSP, ,-50,-50,1
14,77,15,खतरा,NN, ,-50,-50,1
15,82,16,को,PSP, ,-50,-50,1
16,85,17,बढ़ावा,NN, ,-50,-50,1
17,92,18,नहीं,NEG, ,-50,-50,1
18,97,19,दे,VM, ,-50,-50,1
19,101,20,,SYM,,-50,-50,1
20,103,21,विकासशील,JJ, ,-50,-50,1
21,112,22,देश,NN, ,-50,-50,1
22,118,23,को,PSP, ,-50,-50,1
23,122,24,अपना,PRP,  ,-50,-50,1
24,127,25,यहाँ,PRP, ,-50,-50,1
25,132,26,का,PSP, ,-50,-50,1
26,135,27,गरीब,JJ, ,-50,-50,1
27,140,28,जनता,NN, ,-50,-50,1
28,145,29,को,PSP, ,-50,-50,1
29,148,30,खुशहाल,JJ, ,-50,-50,1
30,155,31,और,CC, ,-50,-50,1
31,158,32,बेहतर,JJ, ,-50,-50,1
32,164,33,जीवन,NN, ,-50,-50,1
33,169,34,स्तर,NN, ,-50,-50,1
34,174,35,दे,VM, ,-50,-50,1
35,179,36,का,PSP, ,-50,-50,1
36,182,37,ले,PSP, ,-50,-50,1
37,186,38,प्रोत्साहित,JJ, ,-50,-50,1
38,198,39,कर,VM, ,-50,-50,1
39,203,40,चाह,VAUX, ,-50,-50,1
40,208,41,,SYM,,-50,-50,1
41,210,42,इसके,PRP, ,-50,-50,2
42,215,43,अलावा,PSP:?, ,-50,-50,2
43,221,44,विकासशील,JJ, ,-50,-50,2
44,230,45,देश,NN, ,-50,-50,2
45,237,46,का,PSP,  ,-50,-50,2
46,240,47,ले,PSP, ,-50,-50,2
47,244,48,अतिरिक्त,JJ, ,-50,-50,2
48,253,49,हरी,JJ, ,-50,-50,2
49,257,50,मील,NN, ,-50,-50,2
50,261,51,और,CC, ,-50,-50,2
51,264,52,स्वच्छ,JJ, ,-50,-50,2
52,271,53,प्रौद्योगिकी,NN, ,-50,-50,2
53,284,54,को,PSP, ,-50,-50,2
54,287,55,लागू,JJ, ,-50,-50,2
55,292,56,कर,VM, ,-50,-50,2
56,297,57,का,PSP, ,-50,-50,2
57,300,58,ले,PSP, ,-50,-50,2
58,304,59,प्रोत्साहित,JJ, ,-50,-50,2
59,316,60,कर,VM, ,-50,-50,2
60,321,61,चाह,VAUX, ,-50,-50,2
61,327,62,,XC,,-50,-50,2
62,329,63,इसके,PRP,,-50,-50,2
63,334,64,अलावा,PSP:?, ,-50,-50,2
64,340,65,वन,NN, ,-50,-50,2
65,345,66,का,PSP, ,-50,-50,2
66,348,67,कटाई,NN, ,-50,-50,2
67,353,68,से,PSP, ,-50,-50,2
68,356,69,हो,VM, ,-50,-50,2
69,359,70,रह,VAUX, ,-50,-50,2
70,363,71,उत्सर्जन,NN, ,-50,-50,2
71,372,72,को,PSP, ,-50,-50,2
72,375,73,कम,QF, ,-50,-50,2
73,378,74,कर,VM, ,-50,-50,2
74,383,75,चाह,VAUX, ,-50,-50,2
75,389,76,,SYM,,-50,-50,2
76,391,77,दुनिया,NN, ,-50,-50,3
77,398,78,का,PSP, ,-50,-50,3
78,401,79,कुछ,QF, ,-50,-50,3
79,405,80,सबसे,INTF, ,-50,-50,3
80,410,81,कमजोर,JJ, ,-50,-50,3
81,416,82,देश,NN, ,-50,-50,3
82,422,83,ने,PSP, ,-50,-50,3
83,425,84,जलवायु,XC, ,-50,-50,3
84,432,85,परिवर्तन,NN, ,-50,-50,3
85,441,86,पर,PSP, ,-50,-50,3
86,444,87,कम,QF, ,-50,-50,3
87,447,88,से,PSP, ,-50,-50,3
88,450,89,कम,QF, ,-50,-50,3
89,453,90,योगदान,NN, ,-50,-50,3
90,460,91,दे,VM, ,-50,-50,3
91,465,92,है,VAUX, ,-50,-50,3
92,467,93,",",SYM,,-50,-50,3
93,470,94,जो,PRP,  ,-50,-50,3
94,476,95,वह,PRP, ,-50,-50,3
95,479,96,खामियाजा,NN, ,-50,-50,3
96,488,97,भुगत,VM, ,-50,-50,3
97,493,98,रह,VAUX, ,-50,-50,3
98,497,99,है,VAUX, ,-50,-50,3
99,500,100,,SYM,,-50,-50,3
100,502,101,विकासशील,JJ, ,-50,-50,4
101,511,102,देश,NN, ,-50,-50,4
102,517,103,को,PSP, ,-50,-50,4
103,520,104,विशेष,JJ, ,-50,-50,4
104,526,105,रूप,NN, ,-50,-50,4
105,530,106,से,PSP, ,-50,-50,4
106,533,107,जलवायु,XC, ,-50,-50,4
107,540,108,परिवर्तन,NN, ,-50,-50,4
108,549,109,का,PSP, ,-50,-50,4
109,552,110,प्रभाव,NN, ,-50,-50,4
110,561,111,का,PSP, ,-50,-50,4
111,564,112,ले,PSP, ,-50,-50,4
112,568,113,अनुकूलन,NN, ,-50,-50,4
113,576,114,का,PSP, ,-50,-50,4
114,579,115,जरूरत,NN, ,-50,-50,4
115,585,116,है,VM, ,-50,-50,4
116,587,117,,SYM,,-50,-50,4
117,589,118,इसके,PRP, ,-50,-50,5
118,594,119,ले,PSP, ,-50,-50,5
119,598,120,सभी,QF, ,-50,-50,5
120,602,121,देश,NN, ,-50,-50,5
121,608,122,को,PSP, ,-50,-50,5
122,611,123,हाथ,NN, ,-50,-50,5
123,615,124,मिला,VM, ,-50,-50,5
124,622,125,जलवायु,XC, ,-50,-50,5
125,629,126,परिवर्तन,NN, ,-50,-50,5
126,638,127,पर,PSP, ,-50,-50,5
127,641,128,बात,NN, ,-50,-50,5
128,645,129,कर,VM, ,-50,-50,5
129,650,130,चाह,VAUX, ,-50,-50,5
130,655,131,,SYM,,-50,-50,5
