,cur,id,lemma,pos,space,Prob1,Prob2,segId
0,1,1,जीवनयापन,NN, ,-50,-50,1
1,10,2,लागत,NN, ,-50,-50,1
2,15,3,में,PSP, ,-50,-50,1
3,19,4,वृद्धि,NN, ,-50,-50,1
4,26,5,से,PSP, ,-50,-50,1
5,29,6,गृहस्थ,JJ, ,-50,-50,1
6,36,7,ग्रस्त,JJ, ,-50,-50,1
7,43,8,ब्रिटिश,JJ,"
",-50,-50,2
8,51,9,परिवार,NN, ,-50,-50,2
9,60,10,को,PSP, ,-50,-50,2
10,63,11,अतिरिक्त,JJ, ,-50,-50,2
11,72,12,"31,300",QC, ,-50,-50,2
12,79,13,£,NN,,-50,-50,2
13,81,14,खर्च,NN, ,-50,-50,2
14,86,15,कर,VM, ,-50,-50,2
15,91,16,हो,VAUX, ,-50,-50,2
16,97,17,क्योंकि,CC, ,-50,-50,2
17,105,18,खाद्य,NN, ,-50,-50,2
18,111,19,और,CC, ,-50,-50,2
19,114,20,ईंधन,NN, ,-50,-50,2
20,119,21,का,PSP, ,-50,-50,2
21,122,22,कीमत,NN, ,-50,-50,2
22,129,23,17,QC, ,-50,-50,2
23,132,24,साल,NN, ,-50,-50,2
24,136,25,में,PSP, ,-50,-50,2
25,140,26,सबसे,INTF, ,-50,-50,2
26,145,27,तेज,JJ, ,-50,-50,2
27,149,28,दर,NN, ,-50,-50,2
28,154,29,से,PSP, ,-50,-50,2
29,157,30,बढोत्तरी,VM, ,-50,-50,2
30,166,31,हो,VAUX, ,-50,-50,2
31,170,32,है,VAUX, ,-50,-50,2
32,172,33,,SYM,,-50,-50,2
33,174,34,पिछला,JJ, ,-50,-50,3
34,180,35,साल,NN, ,-50,-50,3
35,184,36,का,PSP, ,-50,-50,3
36,187,37,दौरान,NST, ,-50,-50,3
37,192,38,",",SYM,,-50,-50,3
38,195,39,सुपरमार्केट,NN,  ,-50,-50,3
39,207,40,में,PSP, ,-50,-50,3
40,211,41,कीमत,NN, ,-50,-50,3
41,218,42,काफी,INTF, ,-50,-50,3
42,223,43,अधिक,QF, ,-50,-50,3
43,228,44,दर,NN, ,-50,-50,3
44,231,45,से,PSP, ,-50,-50,3
45,234,46,बढ,VM, ,-50,-50,3
46,238,47,हैं।,JJ, ,-50,-50,3
47,243,48,विश्लेषकों,NN, ,-50,-50,4
48,254,49,ने,PSP, ,-50,-50,4
49,257,50,चेतावनी,NN, ,-50,-50,4
50,265,51,दे,VM, ,-50,-50,4
51,268,52,है,VAUX, ,-50,-50,4
52,271,53,कि,CC, ,-50,-50,4
53,274,54,कीमत,NN, ,-50,-50,4
54,281,55,में,PSP, ,-50,-50,4
55,285,56,अभी,PRP, ,-50,-50,4
56,290,57,आगा,NST,  ,-50,-50,4
57,294,58,भी,RP, ,-50,-50,4
58,297,59,बढोत्तरी,JJ, ,-50,-50,4
59,306,60,हो,VM, ,-50,-50,4
60,310,61,",",SYM,,-50,-50,4
61,312,62,जो,PRP, ,-50,-50,4
62,318,63,बैंक,NN, ,-50,-50,4
63,323,64,ऑफ,XC, ,-50,-50,4
64,326,65,इंग्लैंड,NNP, ,-50,-50,4
65,335,66,का,PSP, ,-50,-50,4
66,338,67,ब्याज,NN, ,-50,-50,4
67,344,68,दर,NN, ,-50,-50,4
68,349,69,में,PSP, ,-50,-50,4
69,353,70,कटौती,NN, ,-50,-50,4
70,359,71,कर,VM, ,-50,-50,4
71,364,72,और,CC, ,-50,-50,4
72,367,73,भी,RP, ,-50,-50,4
73,370,74,मुश्किल,JJ, ,-50,-50,4
74,378,75,हो,VM, ,-50,-50,4
75,381,76,जा,VAUX, ,-50,-50,4
76,387,77,जबकि,CC, ,-50,-50,4
77,392,78,यह,DEM, ,-50,-50,4
78,395,79,मुद्रास्फीति,NN, ,-50,-50,4
79,408,80,और,CC, ,-50,-50,4
80,411,81,अर्थव्यवस्था,NN, ,-50,-50,4
81,424,82,को,PSP, ,-50,-50,4
82,427,83,नियंत्रण,NN, ,-50,-50,4
83,436,84,में,PSP, ,-50,-50,4
84,440,85,रख,VM, ,-50,-50,4
85,445,86,का,PSP, ,-50,-50,4
86,448,87,ले,PSP, ,-50,-50,4
