,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
0,Spielberg,PROPN,NNP,0,1,-5.9908,-50,1,
1,show,VERB,VBZ,10,2,-4.0278,-50,1, 
2,Beijing,PROPN,NNP,16,3,-5.3595,-50,1, 
3,red,ADJ,JJ,24,4,-3.9277,-50,1, 
4,card,NOUN,NN,28,5,-4.3397,-6.2782,1, 
5,over,ADP,IN,33,6,-2.9829,-6.8359,1, 
6,Darfur,PROPN,NNP,38,7,-7.0120,-50,1, 
7,in,ADP,IN,45,8,-1.8251,-50,2,"
"
8,a,DET,DT,48,9,-1.7608,-3.0327,2, 
9,gesture,NOUN,NN,50,10,-4.8085,-5.4256,2, 
10,sure,ADJ,JJ,58,11,-3.7236,-50,2, 
11,to,PART,TO,63,12,-1.6934,-5.2802,2, 
12,rattle,VERB,VB,66,13,-5.5360,-6.6287,2, 
13,the,DET,DT,73,14,-1.3096,-7.1880,2, 
14,chinese,ADJ,JJ,77,15,-4.4733,-4.9407,2, 
15,government,NOUN,NN,85,16,-3.2998,-6.0193,2, 
16,",",PUNCT,",",95,17,-1.3899,-4.4706,2,
17,Steven,PROPN,NNP,97,18,-5.0712,-6.0741,2, 
18,Spielberg,PROPN,NNP,104,19,-5.9908,-6.3836,2, 
19,pull,VERB,VBD,114,20,-4.2799,-50,2, 
20,out,ADP,RP,121,21,-2.9158,-5.3101,2, 
21,of,ADP,IN,125,22,-1.6306,-5.7409,2, 
22,the,DET,DT,128,23,-1.3096,-2.2331,2, 
23,Beijing,PROPN,NNP,132,24,-5.3595,-6.5860,2, 
24,Olympic,PROPN,NNPS,140,25,-5.4072,-50,2, 
25,to,PART,TO,149,26,-1.6934,-7.2460,2, 
26,protest,VERB,VB,152,27,-4.5477,-5.4408,2, 
27,against,ADP,IN,160,28,-3.3519,-5.4990,2, 
28,China,PROPN,NNP,168,29,-4.3531,-6.8607,2, 
29,'s,PART,POS,173,30,-2.1960,-5.3399,2,
30,back,NOUN,NN,176,31,-4.7921,-6.5001,2, 
31,for,ADP,IN,184,32,-2.1680,-5.9268,2, 
32,Sudan,PROPN,NNP,188,33,-5.4256,-7.4891,2, 
33,'s,PART,POS,193,34,-2.1960,-6.7901,2,
34,policy,NOUN,NN,196,35,-3.6793,-5.2254,2, 
35,in,ADP,IN,203,36,-1.8251,-5.2362,2, 
36,Darfur,PROPN,NNP,206,37,-7.0120,-7.6140,2, 
37,.,PUNCT,.,212,38,-1.4170,-50,2,
38,his,PRON,PRP$,214,39,-2.4785,-50,3, 
39,withdrawal,NOUN,NN,218,40,-4.7851,-6.5229,3, 
40,come,VERB,VBZ,229,41,-3.8956,-50,3, 
41,in,ADP,IN,235,42,-1.8251,-5.0034,3, 
42,the,DET,DT,238,43,-1.3096,-2.3779,3, 
43,wake,NOUN,NN,242,44,-4.6834,-5.2002,3, 
44,of,SCONJ,IN,247,45,-1.6306,-5.2120,3, 
45,fight,VERB,VBG,250,46,-4.3487,-5.6348,3, 
46,flare,VERB,VBG,259,47,-6.0699,-50,3, 
47,up,ADP,RP,267,48,-2.8340,-7.1880,3, 
48,again,ADV,RB,270,49,-3.3623,-5.0127,3, 
49,in,ADP,IN,276,50,-1.8251,-4.8723,3, 
50,Darfur,PROPN,NNP,279,51,-7.0120,-7.6140,3, 
51,and,CCONJ,CC,286,52,-1.6736,-50,3, 
52,be,AUX,VBZ,290,53,-2.0970,-3.9805,3, 
53,set,VERB,VBN,293,54,-3.4455,-4.8897,3, 
54,to,PART,TO,297,55,-1.6934,-4.7430,3, 
55,embarrass,VERB,VB,300,56,-5.7858,-6.0868,3, 
56,China,PROPN,NNP,310,57,-4.3531,-50,3, 
57,",",PUNCT,",",315,58,-1.3899,-5.1721,3,
58,which,PRON,WDT,317,59,-2.5275,-3.1884,3, 
59,have,AUX,VBZ,323,60,-2.6814,-4.1241,3, 
60,seek,VERB,VBN,327,61,-4.3683,-6.0577,3, 
61,to,PART,TO,334,62,-1.6934,-4.8154,3, 
62,halt,VERB,VB,337,63,-4.8604,-5.4638,3, 
63,the,DET,DT,342,64,-1.3096,-5.7201,3, 
64,negative,ADJ,JJ,346,65,-4.4177,-5.3037,3, 
65,fallout,NOUN,NN,355,66,-6.1369,-50,3, 
66,from,SCONJ,IN,363,67,-2.4844,-6.7294,3, 
67,have,VERB,VBG,368,68,-3.5565,-5.5860,3, 
68,close,ADJ,JJ,375,69,-3.7734,-7.6140,3, 
69,tie,NOUN,NNS,381,70,-4.8966,-6.2523,3, 
70,to,ADP,IN,386,71,-1.6934,-6.2338,3, 
71,the,DET,DT,389,72,-1.3096,-2.6734,3, 
72,sudanese,ADJ,JJ,393,73,-5.8456,-6.1617,3, 
73,government,NOUN,NN,402,74,-3.2998,-6.5860,3, 
74,.,PUNCT,.,412,75,-1.4170,-4.4444,3,
75,China,PROPN,NNP,414,76,-4.3531,-50,4, 
76,",",PUNCT,",",419,77,-1.3899,-5.1721,4,
77,which,PRON,WDT,421,78,-2.5275,-3.1884,4, 
78,have,VERB,VBZ,427,79,-2.6814,-4.1241,4, 
79,extensive,ADJ,JJ,431,80,-4.4829,-6.5114,4, 
80,investment,NOUN,NNS,441,81,-4.9107,-50,4, 
81,in,ADP,IN,453,82,-1.8251,-5.8193,4, 
82,the,DET,DT,456,83,-1.3096,-2.3779,4, 
83,sudanese,ADJ,JJ,460,84,-5.8456,-6.1617,4, 
84,oil,NOUN,NN,469,85,-4.0840,-50,4, 
85,industry,NOUN,NN,473,86,-3.7955,-5.7164,4, 
86,",",PUNCT,",",481,87,-1.3899,-4.6526,4,
87,maintain,VERB,VBZ,483,88,-5.1546,-6.3751,4, 
88,close,ADJ,JJ,493,89,-3.7734,-7.1880,4, 
89,link,NOUN,NNS,499,90,-4.4558,-5.8335,4, 
90,with,ADP,IN,505,91,-2.2850,-4.9974,4, 
91,the,DET,DT,510,92,-1.3096,-3.0006,4, 
92,government,NOUN,NN,514,93,-3.2998,-3.7123,4, 
93,",",PUNCT,",",524,94,-1.3899,-4.4706,4,
