,cur,id,lemma,pos,segId,space
0,0,1,जीवन,NN,1,
1,5,2,यापान,JJ,1, 
2,11,3,स्तर,NN,1, 
3,16,4,में,PSP,1, 
4,20,5,बढ़ोत्तरी,NN,1, 
5,30,6,का,PSP,1, 
6,33,7,साथ,NST,1, 
7,37,8,परिवार,NN,1, 
8,45,9,अंग्रेजी,JJ,2," 
"
9,54,10,परिवार,NN,2, 
10,61,11,को,PSP,2, 
11,64,12,प्रति,RP:?,2, 
12,70,13,वर्ष,NN,2, 
13,75,14,अतिरिक्त,PSP:?,2, 
14,84,15,"31,300",QC,2, 
15,91,16,खाना,NN,2, 
16,96,17,और,CC,2, 
17,99,18,ईंधन,NN,2, 
18,104,19,में,PSP,2, 
19,108,20,17,QC,2, 
20,111,21,साल,NN,2, 
21,115,22,में,PSP,2, 
22,119,23,सबसे,INTF,2, 
23,124,24,तेज,JJ,2, 
24,128,25,दर,NN,2, 
25,131,26,से,PSP,2, 
26,134,27,बढ़,NN,2, 
27,138,28,रह,VM,2, 
28,142,29,मूल्य,NN,2, 
29,148,30,वहन,NN,2, 
30,152,31,कर,VM,2, 
31,157,32,पड़,NN,2, 
32,161,33,रह,VAUX,2, 
33,165,34,है,VAUX,2, 
34,167,35,|,SYM,2,
35,169,36,पिछला,JJ,3, 
36,175,37,कुछ,QF,3, 
37,179,38,वर्ष,NN,3, 
38,184,39,में,PSP,3, 
39,188,40,सुपरमार्केट,NN,3, 
40,200,41,में,PSP,3, 
41,204,42,कीमत,NN,3, 
42,211,43,बहुत,INTF,3, 
43,216,44,अधिक,QF,3, 
44,221,45,स्तर,NN,3, 
45,226,46,तक,RP,3, 
46,229,47,बढ़,NN,3, 
47,233,48,चुक,VAUX,3, 
48,238,49,है,VAUX,3, 
49,241,50,|,SYM,3,
50,243,51,विश्लेषकों,NN,4, 
51,254,52,ने,PSP,4, 
52,257,53,चेतावनी,NN,4, 
53,265,54,दे,VM,4, 
54,268,55,है,VAUX,4, 
55,270,56,",",SYM,4,
56,272,57,कि,CC,4, 
57,275,58,कीमत,NN,4, 
58,282,59,आगा,NST,4, 
59,286,60,भी,RP,4, 
60,289,61,बढ़ेंगी,VM,4, 
61,297,62,क्योंकि,CC,4, 
62,305,63,इंग्लैण्ड,NN,4, 
63,315,64,का,PSP,4, 
64,318,65,बैंक,NN,4, 
65,323,66,का,PSP,4, 
66,326,67,ले,PSP,4, 
67,330,68,ब्याज,XC,4, 
68,336,69,दर,NN,4, 
69,339,70,घटा,VM,4, 
70,345,71,मुश्किल,JJ,4, 
71,353,72,है,VM,4, 
72,356,73,क्योंकि,CC,4, 
73,364,74,वह,PRP,4, 
74,367,75,स्फीति,NN,4, 
75,374,76,और,CC,4, 
76,377,77,अर्थव्यवस्था,NN,4, 
77,390,78,को,PSP,4, 
78,393,79,नियंत्रण,NN,4, 
79,402,80,में,PSP,4, 
80,406,81,रख,VM,4, 
81,411,82,का,PSP,4, 
82,414,83,ले,PSP,4, 
83,418,84,संघहर्ष,NN,4, 
84,426,85,कर,VM,4, 
85,429,86,रह,VAUX,4, 
86,433,87,है,VAUX,4, 
87,435,88,|,SYM,4,
88,437,89,स्थिति,NN,5, 
89,444,90,और,CC,5, 
90,447,91,बुरी,JJ,5, 
91,452,92,कर,VM,5, 
92,457,93,हेतु,PSP,5, 
93,461,94,",",SYM,5,
94,463,95,वेतन,NN,5, 
95,468,96,में,PSP,5, 
96,472,97,बढ़ोत्तरी,NN,5, 
97,482,98,का,PSP,5, 
98,485,99,मुकाबला,JJ,5, 
99,493,100,मूल्यवृद्धि,NN,5, 
100,505,101,हो,VM,5, 
101,510,102,जा,VAUX,5, 
102,513,103,रह,VAUX,5, 
103,517,104,है,VAUX,5, 
104,519,105,",",SYM,5,
105,521,106,विशेषतौर,NN,5, 
106,530,107,पर,PSP,5, 
107,533,108,वह,PRP,5, 
108,536,109,नर्स,NN,5, 
109,541,110,और,CC,5, 
110,544,111,अन्य,JJ,5, 
111,549,112,स्वास्थय,NN,5, 
112,558,113,पेशेवर,NN,5, 
113,565,114,जो,PRP,5, 
114,568,115,सरकारी,JJ,5, 
115,575,116,आवृतियों,NN,5, 
116,584,117,का,PSP,5, 
117,587,118,कारण,NN,5, 
118,592,119,भुगत,VM,5, 
119,597,120,रह,VAUX,5, 
120,602,121,है,VAUX,5, 
121,606,122,जो,PRP,5, 
122,614,123,सार्वजनिक,JJ,5, 
123,624,124,क्षेत्र,NN,5, 
124,632,125,में,PSP,5, 
125,636,126,स्फिति,NN,5, 
126,643,127,से,PSP,5, 
127,646,128,कम,QF,5, 
128,649,129,वेतन,NN,5, 
129,654,130,बढ़ोत्तरी,NN,5, 
130,664,131,प्राप्त,JJ,5, 
131,672,132,हो,VM,5, 
132,675,133,रह,VAUX,5, 
133,679,134,है,VAUX,5, 
134,681,135,,SYM,5,
135,683,136,ईंधन,NN,6, 
136,688,137,और,CC,6, 
137,691,138,भोजन,NN,6, 
138,696,139,का,PSP,6, 
139,699,140,अतिरिक्त,PSP:?,6, 
140,707,141,",",SYM,6,
141,709,142,बिजली,JJ,6, 
142,715,143,बिल,NN,6, 
143,719,144,भी,RP,6, 
144,722,145,बढ,VM,6, 
145,725,146,रह,VAUX,6, 
146,729,147,है,VAUX,6, 
147,732,148,,SYM,6,
148,734,149,छह,QC,7, 
149,737,150,में,PSP,7, 
150,741,151,से,PSP,7, 
151,744,152,पांच,QC,7, 
152,749,153,अधिकतम,JJ,7, 
153,756,154,आपूर्तिकर्ताओं,NN,7, 
154,771,155,ने,PSP,7, 
155,774,156,अपना,PRP,7, 
156,779,157,ग्राहक,NN,7, 
157,788,158,का,PSP,7, 
158,791,159,बिल,NN,7, 
159,795,160,बढ़ा,XC,7, 
160,800,161,दे,VAUX,7, 
161,805,162,है,VAUX,7, 
162,807,163,,SYM,7,
